Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,out_channels,hidden_channels,batch_size,batch_size_sampler,walk_length,num_steps,sample_coverage,epochs,ModelType,BatchSize,BatchSizeSampler,HiddenChannels,OutChannels,NumSteps,SampleCoverage,WalkLength
33.36,57.47,86.89,97.17,100.0,100.0,49.94,33.36,57.47,86.89,97.17,100.0,100.0,91.84,95.32,85.28,16,16,32,128,10,10,100,200,VGAE,32,128,16,16,10,100,10
36.99,64.57,86.89,97.17,100.0,100.0,54.34,36.99,64.57,86.89,97.17,100.0,100.0,91.84,95.32,85.28,16,16,64,128,10,10,100,200,VGAE,64,128,16,16,10,100,10
41.73,63.77,86.97,96.87,100.0,100.0,55.61,41.73,63.77,86.97,96.87,100.0,100.0,91.57,96.11,84.15,16,16,32,128,10,5,100,200,VGAE,32,128,16,16,5,100,10
48.27,66.43,86.97,96.87,100.0,100.0,60.3,48.27,66.43,86.97,96.87,100.0,100.0,91.57,96.11,84.15,16,16,32,128,10,10,100,200,VGAE,32,128,16,16,10,100,10
50.96,66.77,86.97,96.87,100.0,100.0,62.03,50.96,66.77,86.97,96.87,100.0,100.0,91.57,96.11,84.15,16,16,64,128,10,5,100,200,VGAE,64,128,16,16,5,100,10
50.96,66.77,86.97,97.84,100.0,100.0,62.03,50.96,66.77,86.97,97.84,100.0,100.0,91.57,96.11,84.15,16,16,64,128,10,10,100,200,VGAE,64,128,16,16,10,100,10
50.96,63.59,86.97,95.67,100.0,100.0,55.34,50.96,63.59,86.97,95.67,100.0,100.0,91.56,96.02,83.47,16,16,128,128,10,5,100,200,VGAE,128,128,16,16,5,100,10
50.96,63.59,86.28,95.67,100.0,100.0,55.34,50.96,63.59,86.28,95.67,100.0,100.0,91.56,96.02,83.47,16,16,128,128,10,10,100,200,VGAE,128,128,16,16,10,100,10
29.5,41.01,74.6,96.72,100.0,100.0,41.01,29.5,41.01,74.6,96.72,100.0,100.0,64.95,98.66,65.74,16,16,32,1024,10,5,100,400,VGAE,32,1024,16,16,5,100,10
23.74,49.04,67.45,96.72,100.0,100.0,39.79,23.74,49.04,67.45,96.72,100.0,100.0,64.95,98.66,65.74,16,16,32,1024,10,10,100,400,VGAE,32,1024,16,16,10,100,10
37.53,49.64,74.83,95.91,100.0,100.0,48.45,37.53,49.64,74.83,95.91,100.0,100.0,74.4,98.82,64.74,16,16,64,1024,10,5,100,400,VGAE,64,1024,16,16,5,100,10
37.53,49.64,74.83,95.91,100.0,100.0,48.45,37.53,49.64,74.83,95.91,100.0,100.0,74.4,98.82,64.74,16,16,64,1024,10,10,100,400,VGAE,64,1024,16,16,10,100,10
37.53,49.64,74.83,95.91,100.0,100.0,48.45,37.53,49.64,74.83,95.91,100.0,100.0,74.4,98.82,64.74,16,16,128,1024,10,5,100,400,VGAE,128,1024,16,16,5,100,10
32.7,55.65,81.53,99.16,100.0,100.0,48.57,32.7,55.65,81.53,99.16,100.0,100.0,79.42,99.12,76.93,16,16,128,1024,10,10,100,400,VGAE,128,1024,16,16,10,100,10
28.63,41.94,79.96,97.58,100.0,100.0,41.58,28.63,41.94,79.96,97.58,100.0,100.0,72.15,98.91,16.39,16,16,128,0.1,1024,10,10,100,5,VGAE,128,0.1,1024,16,16,10,100,10
33.31,56.55,84.13,99.34,100.0,100.0,48.49,33.31,56.55,84.13,99.34,100.0,100.0,79.81,99.18,62.79,16,16,128,0.1,1024,10,10,100,200,VGAE,128,0.1,1024,16,16,10,100,10
33.31,56.55,84.13,99.34,100.0,100.0,48.49,33.31,56.55,84.13,99.34,100.0,100.0,79.81,99.18,62.79,16,16,128,0.01,1024,10,10,100,200,VGAE,128,0.01,1024,16,16,10,100,10
33.31,56.55,84.13,99.34,100.0,100.0,48.49,33.31,56.55,84.13,99.34,100.0,100.0,79.81,99.18,62.79,16,16,128,0.001,1024,10,10,100,200,VGAE,128,0.001,1024,16,16,10,100,10
33.31,56.55,90.22,99.86,100.0,100.0,48.49,33.31,56.55,90.22,99.86,100.0,100.0,82.64,99.37,72.25,16,16,128,0.0001,1024,10,10,100,200,VGAE,128,0.0001,1024,16,16,10,100,10
37.29,58.04,83.44,99.58,100.0,100.0,51.24,37.29,58.04,83.44,99.58,100.0,100.0,82.29,99.23,79.76,32,32,32,0.01,1024,10,10,100,500,VGAE,32,0.01,1024,32,32,10,100,10
37.67,58.21,83.5,99.61,100.0,100.0,51.44,37.67,58.21,83.5,99.61,100.0,100.0,82.72,99.23,80.38,32,32,32,0.01,1024,10,10,100,500,VGAE,32,0.01,1024,32,32,10,100,10
45.87,70.82,92.3,99.52,100.0,100.0,64.78,45.87,70.82,92.3,99.52,100.0,100.0,86.25,99.55,79.22,32,32,32,0.01,1024,10,10,100,500,VGAE,32,0.01,1024,32,32,10,100,10
44.94,71.91,96.23,99.95,100.0,100.0,59.48,44.94,71.91,96.23,99.95,100.0,100.0,87.46,99.59,67.99,32,32,32,0.01,1024,10,10,100,500,VGAE,32,0.01,1024,32,32,10,100,10
0.0,0.0,30.16,48.17,67.37,86.9,13.07,0.0,0.0,30.16,48.17,67.93,88.73,89.04,88.66,75.0,32,32,32,0.01,1024,10,10,100,200,VGAE,32,0.01,1024,32,32,10,100,10
0.0,0.0,25.58,35.67,54.99,81.42,10.39,0.0,11.82,25.58,35.67,58.66,87.34,85.71,85.06,75.03,32,32,32,0.01,1024,10,10,100,200,VGAE,32,0.01,1024,32,32,10,100,10
0.0,0.0,30.61,45.65,67.9,88.41,11.6,0.0,0.0,30.61,45.65,70.92,87.47,88.35,88.36,77.74,32,32,32,0.01,1024,10,10,100,200,VGAE,32,0.01,1024,32,32,10,100,10
26.74,47.95,72.69,85.78,95.81,98.54,44.55,26.74,47.95,72.69,85.78,95.81,98.54,97.13,99.12,90.49,32,32,32,0.01,1024,10,10,100,200,VGAE,32,0.01,1024,32,32,10,100,10
29.47,45.26,73.11,84.76,93.96,97.59,42.59,29.47,45.26,73.11,84.76,93.96,97.59,97.05,99.0,90.01,32,32,32,0.01,1024,10,10,100,200,VGAE,32,0.01,1024,32,32,10,100,10
